Vorname,Name,Geburtsjahr,Graduierung,Verein,Land,Geschlecht,Kommentar
Mila,Hartmann,2025,8k,JC Köln,GER,w,Deutschland
Tomo,Suzuki,2025,8k,Osaka Kodokan,JPN,m,Japan
Leo,Martinez,2024,8k,Barcelona Judo Club,ESP,m,Spanien
Amina,Diop,2024,8k,Dakar Dojo,SEN,w,Senegal
Elias,Novak,2023,8k,Prague Judo School,CZE,m,Tschechien
Suri,Kim,2023,8k,Seoul Judo Center,KOR,w,Südkorea
Jonas,Schuster,2022,7k,JC München,GER,m,Deutschland
Valentina,Rossi,2022,7k,Roma Judo Team,ITA,w,Italien
Artem,Volkov,2021,7k,St. Petersburg Dojo,RUS,m,Russland
Nora,Johannsdóttir,2021,7k,Reykjavik Judo Club,ISL,w,Island
Ben,Wilson,2020,6k,Sydney Judo Academy,AUS,m,Australien
Aya,Farouk,2020,6k,Tunis Judo Center,TUN,w,Tunesien
Oliver,Olsen,2019,6k,Aarhus Judoforening,DNK,m,Dänemark
Lina,Baumgartner,2019,6k,JC Stuttgart,GER,w,Deutschland
Thiago,Almeida,2018,5k,São Paulo Judô,BRA,m,Brasilien
Katrin,Jónsdóttir,2018,5k,Akureyri Judo School,ISL,w,Island
Samuel,Turner,2017,5k,Edinburgh Judo Academy,GBR,m,Großbritannien
Raya,Khoury,2017,5k,Jerusalem Judo Center,ISR,w,Israel
Marko,Stepanov,2016,4k,Belgrade Judo Club,SRB,m,Serbien
Ella,Weiss,2016,4k,JC Frankfurt,GER,w,Deutschland
