Vorname,Name,Geburtsjahr,Graduierung,Verein,Land,Geschlecht,Kommentar
Adrian,Petrov,2015,4k,Sofia Judo Club,BGR,m,Bulgarien
Maya,Goldstein,2015,4k,Tel Aviv Dojo,ISR,w,Israel
Rafael,Moreira,2014,3k,Porto Judo Center,PRT,m,Portugal
Zara,Khan,2014,3k,Karachi Judo Academy,PAK,w,Pakistan
Hugo,Larsson,2013,3k,Göteborg Judo IF,SWE,m,Schweden
Elina,Korhonen,2013,3k,Helsinki Judo Club,FIN,w,Finnland
Lucas,Andrade,2012,2k,Lima Judo Team,PER,m,Peru
Halima,Omar,2012,2k,Mogadishu Judo Center,SOM,w,Somalia
Yusuf,Demir,2011,2k,Ankara Judo Akademisi,TUR,m,Türkei
Chloe,Lam,2011,2k,Hong Kong Judo School,HKG,w,Hongkong
Carlos,Villalba,2010,1k,Quito Judo Center,ECU,m,Ecuador
Marisol,Reyes,2010,1k,Guadalajara Dojo,MEX,w,Mexiko
Nikolai,Ivanov,2009,1d,Kazan Judo Club,RUS,m,Russland
Tahlia,Brown,2009,1d,Melbourne Judo Team,AUS,w,Australien
Jun,Park,2008,1d,Busan Judo Academy,KOR,m,Südkorea
Anika,Patel,2008,1d,Delhi Judo Centre,IND,w,Indien
Dennis,Kovac,2007,2d,Ljubljana Judo Team,SVN,m,Slowenien
Rita,De Luca,2007,2d,Napoli Judo Club,ITA,w,Italien
Marek,Szymanski,2006,2d,Krakow Judo School,POL,m,Polen
Ariana,Henderson,2006,2d,Toronto Judo Club,CAN,w,Kanada
